Smiles,MMGBSA dG Bind
FC(F)(F)C=1C=CC=CC1C2=NN=NN2,-9.18
OCC=1C=NN(C1)CC(F)F,-17.31
CC(O)C=1C=NN(C1)C2CCCC2,-37.43
COC=1C=CC(=CC1F)CC(N)=O,-33.45
NC(=O)CC1=NOC=2C=CC=CC12,-30.53
CNCC=1C=NC(=NC1)C(C)C,-28.29
CCNCC1=CN(C)N=N1,-26.4
CNC1CCCCC1S(C)(=O)=O,-31.09
O=C1C=CC(=NN1)C2CC2,-21.53
NC=1C=CC(=NN1)C2CC2,-27.6
NCC=1C=C(F)C=C2COCOC12,-30.4
CNCC1(O)CCC=2C=CC=CC21,-35.75
NC1CCC(CC1)N2CCCCC2,-29.92
NC(=O)C1=CSC(N)=N1,-17.28
OC1(CC=2C=CC=CC2F)CCNCC1,-34.39
CC1=NNC(N)=C1C=2C=CC=C(C)C2,-32.88
O=C1NN=C2CCCCN12,-21.95
CC=1N=C2CCC(N)CN2N1,-26.15
CC=1C=C(C=CC1F)N2C=C(CO)N=N2,-38.32
CNC=1C=C(NN1)C=2C=CC=CC2,-30.38
CN1C(=O)CNC=2C=CC=CC21,-31.04
CN1C(=O)CCC1C(=O)O,-12.24
CNCC=1C(C)=NOC1C,-21.04
NC(=O)C1CNC2=CC=CC=C2C1,-33.52
CN1N=C(C=2C=C(SC21)C(=O)O)C(F)F,-18.68
NC=1C=CC(Cl)=C(CO)N1,-26.01
CN1N=C(C=C1N)C2CCOCC2,-34.5
CN1CCN(CCO)CC1,-29.95
CC(C)N1CCCC(CO)C1,-35.74
OCC1=NC(=CS1)C(F)(F)F,-21.21
CN1NC(=O)C=2C=CC=NC21,-22.55
CC=1C=C(C(C(N)=O)=C(N)N1)C(F)(F)F,-24.11
C1=CSC(=N1)C2=NN=CN2,-29.08
CNC(=O)C1CNC=2C=CC=CC2O1,-34.35
CC1=NN(CC=2C=CC=CC2)C(C)=C1CN,-36.67
O=C1CCN(N1)C=2C=CC=CC2,-33.82
NC=1N=CC(=CC1Cl)C(F)(F)F,-28.71
O=C(O)C=1C=CC(Cl)=CC1,-12.9
CC1(C)CC(O)CC(C)(C)N1,-29.16
O=C(O)CC=1C=CC(F)=CC1,-12.3
CC=1C=CC=C(CCCO)N1,-40.58
COC=1C=CC(Cl)=CC1C(=O)O,-26.06
O=C(O)CC=1C=CC=C(F)C1,-17.52
O=C(O)CC=1C=CC=CC1F,-14.95
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-28.75
NC(=O)N1CCCC(C1)C(=O)O,-17.53
O=C(CNC1CCCC1)N2CCCC2,-35.29
