mol_id,canonical_smiles,mmgbsa_kcal_mol
0,FC(F)(F)c1ccccc1-c1nnn[nH]1,-9.18
1,OCc1cnn(CC(F)F)c1,-17.31
2,CC(O)c1cnn(C2CCCC2)c1,-37.43
3,COc1ccc(CC(N)=O)cc1F,-33.45
4,NC(=O)Cc1noc2ccccc12,-30.53
5,CNCc1cnc(C(C)C)nc1,-28.29
6,CCNCc1cn(C)nn1,-26.4
7,CNC1CCCCC1S(C)(=O)=O,-31.09
8,O=c1ccc(C2CC2)n[nH]1,-21.53
9,Nc1ccc(C2CC2)nn1,-27.6
10,NCc1cc(F)cc2c1OCOC2,-30.4
11,CNCC1(O)CCc2ccccc21,-35.75
12,NC1CCC(N2CCCCC2)CC1,-29.92
13,NC(=O)c1csc(N)n1,-17.28
14,OC1(Cc2ccccc2F)CCNCC1,-34.39
15,Cc1cccc(-c2c(C)n[nH]c2N)c1,-32.88
16,O=c1[nH]nc2n1CCCC2,-21.95
17,Cc1nc2n(n1)CC(N)CC2,-26.15
18,Cc1cc(-n2cc(CO)nn2)ccc1F,-38.32
19,CNc1cc(-c2ccccc2)[nH]n1,-30.38
20,CN1C(=O)CNc2ccccc21,-31.04
21,CN1C(=O)CCC1C(=O)O,-12.24
22,CNCc1c(C)noc1C,-21.04
23,NC(=O)C1CNc2ccccc2C1,-33.52
24,Cn1nc(C(F)F)c2cc(C(=O)O)sc21,-18.68
25,Nc1ccc(Cl)c(CO)n1,-26.01
26,Cn1nc(C2CCOCC2)cc1N,-34.5
27,CN1CCN(CCO)CC1,-29.95
28,CC(C)N1CCCC(CO)C1,-35.74
29,OCc1nc(C(F)(F)F)cs1,-21.21
30,Cn1[nH]c(=O)c2cccnc21,-22.55
31,Cc1cc(C(F)(F)F)c(C(N)=O)c(N)n1,-24.11
32,c1csc(-c2nnc[nH]2)n1,-29.08
33,CNC(=O)C1CNc2ccccc2O1,-34.35
34,Cc1nn(Cc2ccccc2)c(C)c1CN,-36.67
35,O=C1CCN(c2ccccc2)N1,-33.82
36,Nc1ncc(C(F)(F)F)cc1Cl,-28.71
37,O=C(O)c1ccc(Cl)cc1,-12.9
38,CC1(C)CC(O)CC(C)(C)N1,-29.16
39,O=C(O)Cc1ccc(F)cc1,-12.3
40,Cc1cccc(CCCO)n1,-40.58
41,COc1ccc(Cl)cc1C(=O)O,-26.06
42,O=C(O)Cc1cccc(F)c1,-17.52
43,O=C(O)Cc1ccccc1F,-14.95
44,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-28.75
45,NC(=O)N1CCCC(C(=O)O)C1,-17.53
46,O=C(CNC1CCCC1)N1CCCC1,-35.29
47,Cc1c(C(=O)O)cccc1N1CCNC1=O,-31.25
48,CC1CC(C(F)(F)F)c2c(n(C)[nH]c2=O)N1,-31.92
49,Cc1nn(C(F)F)c(C)c1CO,-28.35
50,OCc1cc(Cl)c2nccn2c1,-33.43
